Train | Epoch: 1 | Loss: 4.521 | Acc: 3.363
Test | Epoch: 1 | Loss: 3.999 | Acc: 11.340
Train | Epoch: 2 | Loss: 4.216 | Acc: 8.059
Test | Epoch: 2 | Loss: 3.565 | Acc: 20.890
Train | Epoch: 3 | Loss: 4.038 | Acc: 11.254
Test | Epoch: 3 | Loss: 3.394 | Acc: 24.340
Train | Epoch: 4 | Loss: 3.960 | Acc: 13.206
Test | Epoch: 4 | Loss: 3.288 | Acc: 26.540
Train | Epoch: 5 | Loss: 3.864 | Acc: 14.988
Test | Epoch: 5 | Loss: 3.043 | Acc: 32.870
Train | Epoch: 6 | Loss: 3.752 | Acc: 17.533
Test | Epoch: 6 | Loss: 2.923 | Acc: 36.110
Train | Epoch: 7 | Loss: 3.632 | Acc: 20.400
Test | Epoch: 7 | Loss: 2.797 | Acc: 39.140
Train | Epoch: 8 | Loss: 3.549 | Acc: 22.107
Test | Epoch: 8 | Loss: 2.693 | Acc: 42.770
Train | Epoch: 9 | Loss: 3.448 | Acc: 24.576
Test | Epoch: 9 | Loss: 2.567 | Acc: 45.280
Train | Epoch: 10 | Loss: 3.430 | Acc: 24.955
Test | Epoch: 10 | Loss: 2.563 | Acc: 45.690
Train | Epoch: 11 | Loss: 3.382 | Acc: 26.137
Test | Epoch: 11 | Loss: 2.525 | Acc: 47.200
Train | Epoch: 12 | Loss: 3.314 | Acc: 28.013
Test | Epoch: 12 | Loss: 2.465 | Acc: 47.690
Train | Epoch: 13 | Loss: 3.283 | Acc: 28.266
Test | Epoch: 13 | Loss: 2.381 | Acc: 49.900
Train | Epoch: 14 | Loss: 3.225 | Acc: 30.285
Test | Epoch: 14 | Loss: 2.297 | Acc: 52.300
Train | Epoch: 15 | Loss: 3.228 | Acc: 29.942
Test | Epoch: 15 | Loss: 2.305 | Acc: 51.250
Train | Epoch: 16 | Loss: 3.197 | Acc: 30.874
Test | Epoch: 16 | Loss: 2.295 | Acc: 53.030
Train | Epoch: 17 | Loss: 3.166 | Acc: 31.602
Test | Epoch: 17 | Loss: 2.270 | Acc: 53.310
Train | Epoch: 18 | Loss: 3.135 | Acc: 32.742
Test | Epoch: 18 | Loss: 2.287 | Acc: 52.920
Train | Epoch: 19 | Loss: 3.125 | Acc: 32.971
Test | Epoch: 19 | Loss: 2.225 | Acc: 54.670
Train | Epoch: 20 | Loss: 3.111 | Acc: 32.470
Test | Epoch: 20 | Loss: 2.194 | Acc: 55.340
Train | Epoch: 21 | Loss: 3.076 | Acc: 34.174
Test | Epoch: 21 | Loss: 2.229 | Acc: 55.610
Train | Epoch: 22 | Loss: 3.070 | Acc: 34.502
Test | Epoch: 22 | Loss: 2.195 | Acc: 55.950
Train | Epoch: 23 | Loss: 3.054 | Acc: 34.502
Test | Epoch: 23 | Loss: 2.151 | Acc: 57.160
Train | Epoch: 24 | Loss: 3.069 | Acc: 34.062
Test | Epoch: 24 | Loss: 2.140 | Acc: 57.210
Train | Epoch: 25 | Loss: 3.053 | Acc: 34.679
Test | Epoch: 25 | Loss: 2.141 | Acc: 57.330
Train | Epoch: 26 | Loss: 3.023 | Acc: 35.416
Test | Epoch: 26 | Loss: 2.182 | Acc: 55.330
Train | Epoch: 27 | Loss: 3.025 | Acc: 35.056
Test | Epoch: 27 | Loss: 2.116 | Acc: 57.780
Train | Epoch: 28 | Loss: 3.002 | Acc: 35.486
Test | Epoch: 28 | Loss: 2.124 | Acc: 58.000
Train | Epoch: 29 | Loss: 3.006 | Acc: 35.701
Test | Epoch: 29 | Loss: 2.096 | Acc: 58.730
Train | Epoch: 30 | Loss: 2.954 | Acc: 36.852
Test | Epoch: 30 | Loss: 2.093 | Acc: 58.510
Train | Epoch: 31 | Loss: 2.958 | Acc: 37.162
Test | Epoch: 31 | Loss: 2.107 | Acc: 58.210
Train | Epoch: 32 | Loss: 2.981 | Acc: 36.322
Test | Epoch: 32 | Loss: 2.120 | Acc: 57.970
Train | Epoch: 33 | Loss: 2.944 | Acc: 37.435
Test | Epoch: 33 | Loss: 2.102 | Acc: 58.820
Train | Epoch: 34 | Loss: 2.915 | Acc: 38.491
Test | Epoch: 34 | Loss: 2.080 | Acc: 59.640
Train | Epoch: 35 | Loss: 2.884 | Acc: 39.187
Test | Epoch: 35 | Loss: 2.052 | Acc: 59.760
Train | Epoch: 36 | Loss: 2.861 | Acc: 39.351
Test | Epoch: 36 | Loss: 2.003 | Acc: 61.370
Train | Epoch: 37 | Loss: 2.873 | Acc: 39.367
Test | Epoch: 37 | Loss: 2.008 | Acc: 61.130
Train | Epoch: 38 | Loss: 2.898 | Acc: 38.626
Test | Epoch: 38 | Loss: 2.010 | Acc: 60.760
Train | Epoch: 39 | Loss: 2.849 | Acc: 39.614
Test | Epoch: 39 | Loss: 2.063 | Acc: 60.560
Train | Epoch: 40 | Loss: 2.846 | Acc: 40.447
Test | Epoch: 40 | Loss: 1.967 | Acc: 61.730
Train | Epoch: 41 | Loss: 2.871 | Acc: 39.713
Test | Epoch: 41 | Loss: 1.963 | Acc: 62.390
Train | Epoch: 42 | Loss: 2.823 | Acc: 40.239
Test | Epoch: 42 | Loss: 1.969 | Acc: 62.030
Train | Epoch: 43 | Loss: 2.815 | Acc: 39.828
Test | Epoch: 43 | Loss: 2.015 | Acc: 61.210
Train | Epoch: 44 | Loss: 2.781 | Acc: 41.080
Test | Epoch: 44 | Loss: 1.948 | Acc: 62.590
Train | Epoch: 45 | Loss: 2.768 | Acc: 42.106
Test | Epoch: 45 | Loss: 1.934 | Acc: 63.170
Train | Epoch: 46 | Loss: 2.748 | Acc: 42.292
Test | Epoch: 46 | Loss: 1.943 | Acc: 63.450
Train | Epoch: 47 | Loss: 2.736 | Acc: 43.390
Test | Epoch: 47 | Loss: 1.917 | Acc: 63.800
Train | Epoch: 48 | Loss: 2.732 | Acc: 43.629
Test | Epoch: 48 | Loss: 1.921 | Acc: 63.660
Train | Epoch: 49 | Loss: 2.750 | Acc: 43.262
Test | Epoch: 49 | Loss: 1.888 | Acc: 64.670
