epoch,accuracy
1,12.79
2,14.438
3,14.8
4,15.15
5,15.458
6,15.558
7,15.684
8,15.76
9,15.858
10,15.884
11,15.954
12,16.036
13,16.228
14,16.288
15,16.222
16,16.452
17,16.502
18,16.466
19,16.592
20,16.62
21,16.626
22,16.758
23,16.73
24,16.67
25,16.816
26,16.84
27,16.988
28,16.964
29,17.014
30,17.058
31,17.056
32,17.098
33,17.248
34,17.122
35,17.212
36,17.186
37,17.21
38,17.248
39,17.236
40,17.33
41,17.444
42,17.426
43,17.426
44,17.484
45,17.352
46,17.544
47,17.6
48,17.532
49,17.498
50,17.604
51,17.632
52,17.542
53,17.648
54,17.714
55,17.638
56,17.742
57,17.602
58,17.774
59,17.682
60,17.572
61,17.644
62,17.724
63,17.712
64,17.814
65,17.802
66,17.914
67,17.84
68,17.844
69,17.732
70,17.856
71,17.762
72,17.95
73,17.792
74,17.96
75,17.872
76,17.864
77,17.892
78,17.72
79,17.984
80,17.878
81,17.904
82,17.978
83,17.978
84,17.94
85,18.058
86,17.866
87,17.968
88,18.082
89,18.002
90,17.996
91,18.026
92,18.076
93,18.04
94,18.0
95,18.098
96,18.048
97,17.992
98,18.012
99,18.09
100,18.05
